partyname_1,origname_1,cmp_id_1,rile_1,lrgen_1,cses_lr_1,cses_expert_1,tev_lr_1,country_1,electionyear_1,partyname_2,origname_2,cmp_id_2,rile_2,lrgen_2,cses_lr_2,cses_expert_2,tev_lr_2,country_2,electionyear_2
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Austrian Social Democratic Party,Sozialdemokratische Partei Österreichs,42320,-5.7,NA,NA,NA,NA,Austria,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Austrian People’s Party,Österreichische Volkspartei,42520,-17.1,NA,NA,NA,NA,Austria,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Christian Social Party,Centre démocrate humaniste,21522,5.102,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Christian People’s Party,Christen-Democratisch en Vlaams,21521,1.303,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Peoples’ Union,De Volksunie,21913,15.122,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Francophone Democratic Front of Francophones of Brussels,Démocrate fédéraliste indépendant,21912,-0.987,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Party of Liberty and Progress,Open Vlaamse Liberalen en Demokraten,21421,26.182,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Liberal Party,Parti Libéral,21424,1.852,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Party of Walloon Reform and Liberty,Parti Réformateur Libéral,21422,3.29,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Francophone Socialist Party,Parti Socialiste,21322,0.512,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Walloon Rally,Rassemblement Wallon,21911,-7.906,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Flemish Socialist Party,Socialistische Partij Anders,21321,-29.461,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Flemish Bloc,Vlaams Blok,21914,-2.915,NA,NA,NA,NA,Belgium,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Centre Democrats,Centrum-Demokraterne,13330,51,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Danish Communist Party,Danmarks Kommunistiske Parti,13220,-51.4,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Danish Social-Liberal Party,Det Radikale Venstre,13410,-11.5,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Progress Party,Fremskridtspartiet,13951,45.9,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Conservative People’s Party,Konservative Folkeparti,13620,35.9,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Christian People’s Party,Kristendemokraterne,13520,32.6,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Justice Party,Retsforbund,13952,18.3,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Social Democratic Party,Socialdemokratiet,13320,-11.4,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Socialist People’s Party,Socialistisk Folkeparti,13230,-43.2,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Liberals,Venstre,13420,51.1,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Left Socialist Party,Venstresocialisterne,13210,-26.9,NA,NA,NA,NA,Denmark,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,National Coalition,Kansallinen Kokoomus,14620,-33.333,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Liberal People’s Party,Liberaalinen Kansanpuolue,14420,-6,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Finnish Rural Party,Perussuomalaiset,14820,38.462,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Swedish People’s Party,Ruotsalainen Kansanpuolue/Svenska Folkpartiet,14901,6.364,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Finnish People’s Democratic Union,Suomen Kansan Demokraattinen Liitto,14221,-13.265,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Centre Party,Suomen Keskusta,14810,-24.167,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Finnish Christian Union,Suomen Kristillisdemokraatit,14520,23.529,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Finnish Social Democrats,Suomen Sosialidemokraattinen Puolue,14320,-40.123,NA,NA,NA,NA,Finland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Union for French Democracy,Mouvement Démocrate,31624,10.909,NA,NA,NA,NA,France,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,French Communist Party,Parti Communiste Français,31220,-39.9,NA,NA,NA,NA,France,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Socialist Party,Parti Socialiste,31320,-39.2,NA,NA,NA,NA,France,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,National Centre of Independents and Peasants - Conservatives,Union de la Nouvelle Majorite - Conservatives/Gaullists,31622,11.4,NA,NA,NA,NA,France,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Rally for the Republic - Gaullists,Union de la Nouvelle Majorite - Gaullists/Conservatives,31621,19.1,NA,NA,NA,NA,France,1978
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Christian Democratic Union/Christian Social Union,Christlich-Demokratische Union/Christlich-Soziale Union,41521,14.525,NA,NA,NA,0.740349344978166,Germany,1976
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Free Democratic Party,Freie Demokratische Partei,41420,-5.532,NA,NA,NA,0.40498687664041993,Germany,1976
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Social Democratic Party of Germany,Sozialdemokratische Partei Deutschlands,41320,-20.792,NA,NA,NA,0.23519650655021831,Germany,1976
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Union of the Democratic Centre,Enosi Dimokratikou Kentrou,34510,-16.333,NA,NA,NA,NA,Greece,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,National Alignment,Ethniki Parataxis,34610,12.281,NA,NA,NA,NA,Greece,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Communist Party of Greece,Kommounistiko Komma Elladas,34210,-15.244,NA,NA,NA,NA,Greece,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,New Democracy,Nea Dimokratia,34511,32.298,NA,NA,NA,NA,Greece,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Panhellenic Socialist Movement,Panellinio Socialistiko Kinima,34313,-27.182,NA,NA,NA,NA,Greece,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,People’s Alliance,Alþýðubandalagið,15220,9.05,NA,NA,NA,NA,Iceland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Social Democratic Party,Alþýðuflokkurinn,15320,-6.2,NA,NA,NA,NA,Iceland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Progressive Party,Framsóknarflokkurinn,15810,8.45,NA,NA,NA,NA,Iceland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Independence Party,Sjálfstæðisflokkurinn,15620,-5.6,NA,NA,NA,NA,Iceland,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Soldiers of Destiny,Fianna Fáil,53620,-4.2,NA,NA,NA,NA,Ireland,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Family of the Irish,Fine Gael,53520,-16,NA,NA,NA,NA,Ireland,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Labour Party,Páirti Lucht Oibre,53320,-16,NA,NA,NA,NA,Ireland,1977
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Italian Social Movement-National Right,Alleanza Nazionale,32710,4.651,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Italian Communist Party,Democratici di Sinistra,32220,-16.667,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Radical Party,Lista Pannella-Sgarbi,32310,32.624,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Italian Liberal Party,Partito Liberale Italiano,32420,-5.03,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Christian Democrats,Partito Popolare Italiano,32520,-6.294,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Italian Republican Party,Partito Repubblicano Italiano,32410,-2.778,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Italian Democratic Socialist Party,Partito Socialista Democratico Italiano,32330,2.491,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Italian Socialist Party,Partito Socialista Italiano,32320,-11.187,NA,NA,NA,NA,Italy,1979
Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-3.5,NA,NA,NA,NA,Austria,1979,Proletarian Unity Party for Communism (The Manifesto + Proletarian Unity Party),Partito di Unità Proletaria per il Comunismo (Il Manifesto + Partito di Unità Proletaria),32210,-14.318,NA,NA,NA,NA,Italy,1979
