partyname_1,origname_1,cmp_id_1,rile_1,lrgen_1,cses_lr_1,cses_expert_1,tev_lr_1,country_1,electionyear_1,partyname_2,origname_2,cmp_id_2,rile_2,lrgen_2,cses_lr_2,cses_expert_2,tev_lr_2,country_2,electionyear_2
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Austrian Freedom Party,Freiheitliche Partei Österreichs,42420,-5.9,7.348148226737976,NA,NA,NA,Austria,1986
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Austrian Social Democratic Party,Sozialdemokratische Partei Österreichs,42320,-7.1,3.3888888359069824,NA,NA,NA,Austria,1986
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Austrian People’s Party,Österreichische Volkspartei,42520,29.1,5.906667113304138,NA,NA,NA,Austria,1986
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Live Differently,Agalev; Groen!,21112,-3.922,3.888888955116272,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Humanist Democratic Centre Christian People’s Party; Christian Democratic & Flemish,Centre Démocrate Humaniste Christelijke Volkspartij; Christen-Democratisch en Vlaams,NA,NA,5.6074076890945435,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian People’s Party,Christen-Democratisch en Vlaams,21521,6.629,NA,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Peoples’ Union,De Volksunie,21913,-2.885,NA,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Ecologists,Ecolo,21111,-1.517,3.92592579126358,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Francophone Democratic Front of Francophones,Front Démocratique des Francophones,21912,-4.443,5.955555438995361,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Party of Liberty and Progress,Open Vlaamse Liberalen en Democraten,21421,6.923,7.533333897590637,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Liberal Reformation Party,Parti Réformateur Libéral,21422,4.772,NA,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Liberal Reformist Party; Reformist Movement,Parti Réformateur Libéral; Mouvement Réformateur,21426,NA,7.437037229537964,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian Social Party,Parti Social Chrétien;,21522,-6.506,6.051852107048035,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Francophone Socialist Party,Parti Socialiste,21322,-13.677,2.8518518805503845,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Flemish Socialist Party,Socialistische Partij; Socialistische Partij Anders,21321,-28,3.118518590927124,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Flemish Bloc,Vlaams Blok; Vlaams Belang,21914,-2.915,9.792592525482178,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,People’s Union; New Flemish Alliance,Volksunie; Nieuw-Vlaamse Alliantie,21916,NA,6.570370197296143,NA,NA,NA,Belgium,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Centre Democrats,Centrum-Demokraterne,13330,17.308,5.6518518924713135,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Conservative People’s Party,Det Konservative Folksparti,13620,36,7.311111092567444,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Danish Social-Liberal Party,Det Radikale Venstre,13410,-13.043,4.940740764141083,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Progress Party,Fremskridtspartiet,13951,28,8.8111114501953125,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian People’s Party,Kristeligt Folkeparti,13520,15.126,6.0592591762542725,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Social Democratic Party,Socialdemokraterne,13320,-20.261,3.718518316745758,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Socialist People’s Party,Socialistisk Folkeparti,13230,-35.328,1.970370411872864,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Liberals,"Venstre, Danmarks Liberale Parti",13420,37.5,7.096295952796936,NA,NA,NA,Denmark,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Democratic Alternative,Demokraattinen Vaihtoehto,14222,-42.466,NA,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Pensioners for the People,Eläkeläiset Kansan Asialla,NA,NA,NA,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,National Coalition,Kansallinen Kokoomus,14620,-30.496,7.1703702211380005,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Finnish Rural Party,Perussuomalaiset,14820,-23.81,6.088889241218567,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Swedish People’s Party,Ruotsalainen kansanpuolue/ Svenska folkpartiet; Suomen ruotsalainen kansanpuolue/Svenska folkpartiet i Finland,14901,-29.53,6.140740513801575,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Finnish People’s Democratic Union,Suomen Kansan Demokraattinen Liitto,14221,-46.515,NA,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Centre Party,Suomen Keskusta,14810,-10.549,5.688889026641846,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Finnish Christian Union,Suomen Kristillinen Liitto; Kristillisdemokraatit,14520,25.926,7.496296167373657,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Finnish Social Democrats,Suomen Sosialidemokraattinen Puolue,14320,-45.455,3.2592594623565674,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Left Alliance,Vasemmistoliitto,14223,NA,2.1259258687496185,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Green Union,Vihreä Liitto,14110,-38.614,NA,NA,NA,NA,Finland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,National Front,Front National; Rassemblement national,31720,39.96,9.900000095367432,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Green Party; Europe Ecology—The Greens,Les Verts; Europe Écologie Les Verts,31110,NA,3.661111146211624,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Union for French Democracy,Mouvement Démocrate,31624,10.909,NA,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,French Communist Party,Parti Communiste Français,31220,-19.8,1.4222221821546555,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Left Radical Party,Parti Radical de Gauche,31421,NA,4.011111259460449,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Socialist Party,Parti Socialiste,31320,-13.6,3.0222220718860626,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Rally for the Republic; Union for Popular Movement The Republicans,Rassemblement pour la République; Union pour un Mouvement Populaire Les Républicains,31626,NA,7.933333218097687,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Union for a New Majority - Conservatives/Gaullists,Union de la Nouvelle Majorite - Conservatives/Gaullists,31622,15.4,NA,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Union for a New Majority - Gaullists/Conservatives,Union de la Nouvelle Majorite - Gaullists/Conservatives,31621,23.5,NA,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Union for French Democracy Democratic Movement,Union pour la Démocratie; Française Mouvement Démocrate,NA,NA,6.4666664600372314,NA,NA,NA,France,1988
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Alliance 90; The Greens,Bündnis ’90; Die Grünen,41113,NA,2.5703704357147217,NA,NA,NA,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian Democratic Union of Germany,Christlich Demokratische Union Deutschlands,NA,NA,6.4666664600372314,NA,NA,NA,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian Social Union in Bavaria,Christlich Soziale Union in Bayern,NA,NA,7.600000500679016,NA,NA,NA,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian Democratic Union/Christian Social Union,Christlich-Demokratische Union/Christlich-Soziale Union,41521,9.89,NA,NA,NA,0.7776246719160105,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,The Greens,Die Grünen,41111,-22.967,NA,NA,NA,0.15826201448321264,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Free Democratic Party,Freie Demokratische Partei,41420,11.22,5.103703737258911,NA,NA,0.6258043335521996,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Republikaner,Republikaner,NA,NA,9.200000166893004,NA,NA,NA,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Social Democratic Party of Germany,Sozialdemokratische Partei Deutschlands,41320,-13.879,3.2370367646217346,NA,NA,0.263672131147541,Germany,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,New Democracy,Nea Dimokratia,34511,35.968,NA,NA,NA,NA,Greece,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Panhellenic Socialist Movement,Panellinio Socialistiko Kinima,34313,-14.655,NA,NA,NA,0.6370769607912071,Greece,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Progressive Left Coalition,Synaspismos tis Aristeras kai tis Proodou,34211,-11.04,NA,NA,NA,0.22242647058823525,Greece,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,People’s Alliance,Alþýðubandalagið,15220,-6.4,NA,NA,NA,0.16450463292943693,Iceland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Social Democratic Party,Alþýðuflokkurinn,15320,-18,NA,NA,NA,0.49392857142857144,Iceland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Citizens’ Party,Borgaraflokkurinn,15621,-0.1,NA,NA,NA,0.786946736684171,Iceland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Progressive Party,Framsóknarflokkurinn,15810,-10.4,NA,NA,NA,0.557541100786276,Iceland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Women’s Alliance,Samtök um Kvennalista,15951,-21.7,NA,NA,NA,0.3640969162995595,Iceland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Independence Party,Sjálfstæðisflokkurinn,15620,28.7,NA,NA,NA,0.8800142247510668,Iceland,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Soldiers of Destiny,Fianna Fáil,53620,-8.424,NA,NA,NA,NA,Ireland,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Family of the Irish,Fine Gael,53520,-10.755,NA,NA,NA,NA,Ireland,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Green Party,Green Party/Comhaontas Glas,53110,-10.945,NA,NA,NA,NA,Ireland,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Progressive Democrats,Progressive Democrats,53420,-2.917,NA,NA,NA,NA,Ireland,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Labour Party,Páirti Lucht Oibre,53320,-29.282,NA,NA,NA,NA,Ireland,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Workers’ Party,Páirtí na nOibri,53220,-32.357,NA,NA,NA,NA,Ireland,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Italian Social Movement-National Right,Alleanza Nazionale,32710,53.659,9.140741229057312,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Italian Communist Party,Democratici di Sinistra,32220,-22.887,NA,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Proletarian Democracy,Democrazia Proletaria,32211,-21.111,NA,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Green Federation,Federazione dei Verdi,32110,1.744,NA,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Northern League,Lega Nord,32720,NA,NA,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Democratic Party of the Left; Democrats of the Left,Partito Democratico della Sinistra; Democratici di Sinistra,NA,NA,1.06666661798954,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Italian Liberal Party,Partito Liberale Italiano,32420,30.366,NA,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian Democrats,Partito Popolare Italiano,32520,4.25,NA,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Italian Republican Party,Partito Repubblicano Italiano,32410,45.763,4.9037036299705505,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Italian Democratic Socialist Party,Partito Socialista Democratico Italiano; Socialisti Democratici Italiani,32330,18.276,5.174074172973633,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Italian Socialist Party,Partito Socialista Italiano,32320,4.24,NA,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Radical Party,Radicali Italiani,32310,32.624,2.3000000417232513,NA,NA,NA,Italy,1987
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Action Committee for Democracy and Pension Justice,Alternativ Demokratesch Reformpartei/Parti Réformiste d'Alternative Démocratique,23951,-7.853,NA,NA,NA,NA,Luxembourg,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Christian Social People’s Party,Chrëschtlech Sozial Vollekspartei/Parti Chrétien Social,23520,5.4,NA,NA,NA,NA,Luxembourg,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Democratic Party,Demokratesch Partei/Parti Démocratique,23420,1.7,NA,NA,NA,NA,Luxembourg,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Green Alternative,Déi Gréng Alternativ/Parti de l'Alternative Verte,23112,-22.5,NA,NA,NA,NA,Luxembourg,1989
Green Alternative,Die Grünen,42110,-15.2,NA,NA,NA,NA,Austria,1986,Green Left Ecological Initiative,"Gréng Lëscht Ekologesch Initiativ/Liste Verte, Initiative Écologiste",23111,-17.5,NA,NA,NA,NA,Luxembourg,1989
